"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"1366","599","true","chrome","135.0.0","false","Windows 10","true","60.01","true","true","browser-check","0","2.1.0","1011","65456ebc819cdd5600552571","Prolific","0","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","9257","65456ebc819cdd5600552571","Prolific","0","true","7233","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","38497","65456ebc819cdd5600552571","Prolific","0","","29238","[{""page_index"":0,""viewing_time"":29238}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","77067","65456ebc819cdd5600552571","Prolific","0","","38567","[{""page_index"":0,""viewing_time"":30825},{""page_index"":1,""viewing_time"":7742}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","78082","65456ebc819cdd5600552571","Prolific","0","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","78392","65456ebc819cdd5600552571","Prolific","0","","null","","1","1","","null","313","383","313","70","e","false","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","83572","65456ebc819cdd5600552571","Prolific","0","","5179","","1","1","","w","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","84085","65456ebc819cdd5600552571","Prolific","0","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","84086","65456ebc819cdd5600552571","Prolific","0","","5179","","1","1","","w","313","383","","","","false","4.25","0","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","85096","65456ebc819cdd5600552571","Prolific","0","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","85410","65456ebc819cdd5600552571","Prolific","0","","null","","2","1","","null","418","313","313","105","w","true","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","87042","65456ebc819cdd5600552571","Prolific","0","","1632","","2","1","","e","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","87549","65456ebc819cdd5600552571","Prolific","0","","null","","2","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","19","2.1.0","87549","65456ebc819cdd5600552571","Prolific","0","","1632","","2","1","","e","418","313","","","","true","4.65","0","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","21","2.1.0","88562","65456ebc819cdd5600552571","Prolific","0","","null","","3","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","22","2.1.0","88873","65456ebc819cdd5600552571","Prolific","0","","null","","3","1","","null","313","469","313","156","e","false","5.050000000000001","","","","","",""
"","","","","","","","","","","","Stimulus Response","23","2.1.0","90822","65456ebc819cdd5600552571","Prolific","0","","1948","","3","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","24","2.1.0","91337","65456ebc819cdd5600552571","Prolific","0","","null","","3","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","26","2.1.0","91338","65456ebc819cdd5600552571","Prolific","0","","1948","","3","1","","e","313","469","","","","false","5.050000000000001","1","","Practice","156","",""
"","","","","","","","","","","","html-keyboard-response","28","2.1.0","92351","65456ebc819cdd5600552571","Prolific","0","","null","","4","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","29","2.1.0","92659","65456ebc819cdd5600552571","Prolific","0","","null","","4","1","","null","469","313","313","156","w","true","5.050000000000001","","","","","",""
