"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"1366","679","true","chrome","131.0.0","false","Windows 10","true","61.23","false","false","browser-check","0","2.1.0","990","67806a2cfa790bea4d4dc92d","Prolific","1","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","21528","67806a2cfa790bea4d4dc92d","Prolific","1","true","19520","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","41627","67806a2cfa790bea4d4dc92d","Prolific","1","","20097","[{""page_index"":0,""viewing_time"":20097}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","77621","67806a2cfa790bea4d4dc92d","Prolific","1","","35993","[{""page_index"":0,""viewing_time"":26598},{""page_index"":1,""viewing_time"":9395}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","78634","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","78958","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","1","1","","null","313","383","313","70","e","false","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","79969","67806a2cfa790bea4d4dc92d","Prolific","1","","1008","","1","1","","w","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","80487","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","80491","67806a2cfa790bea4d4dc92d","Prolific","1","","1008","","1","1","","w","313","383","","","","false","4.25","0","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","81496","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","81814","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","2","1","","null","418","313","313","105","w","true","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","82415","67806a2cfa790bea4d4dc92d","Prolific","1","","597","","2","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","82930","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","2","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","19","2.1.0","82932","67806a2cfa790bea4d4dc92d","Prolific","1","","597","","2","1","","w","418","313","","","","true","4.65","1","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","21","2.1.0","83944","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","3","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","22","2.1.0","84255","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","3","1","","null","418","313","313","105","w","true","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","23","2.1.0","84752","67806a2cfa790bea4d4dc92d","Prolific","1","","493","","3","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","24","2.1.0","85269","67806a2cfa790bea4d4dc92d","Prolific","1","","null","","3","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","26","2.1.0","85269","67806a2cfa790bea4d4dc92d","Prolific","1","","493","","3","1","","w","418","313","","","","true","4.65","1","","Practice","105","",""
