"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"963","588","true","firefox","128.0.0","false","Mac OS","true","60.54","true","true","browser-check","0","2.1.0","1002","5ea824f580b9ef228f589930","Prolific","1","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","3075","5ea824f580b9ef228f589930","Prolific","1","true","1068","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","5507","5ea824f580b9ef228f589930","Prolific","1","","2429","[{""page_index"":0,""viewing_time"":2429}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","16746","5ea824f580b9ef228f589930","Prolific","1","","11235","[{""page_index"":0,""viewing_time"":9850},{""page_index"":1,""viewing_time"":1385}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","17754","5ea824f580b9ef228f589930","Prolific","1","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","18063","5ea824f580b9ef228f589930","Prolific","1","","null","","1","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","18947","5ea824f580b9ef228f589930","Prolific","1","","882","","1","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","19452","5ea824f580b9ef228f589930","Prolific","1","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","19454","5ea824f580b9ef228f589930","Prolific","1","","882","","1","1","","w","383","313","","","","true","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","20460","5ea824f580b9ef228f589930","Prolific","1","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","20765","5ea824f580b9ef228f589930","Prolific","1","","null","","2","1","","null","313","383","313","70","e","false","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","21255","5ea824f580b9ef228f589930","Prolific","1","","487","","2","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","21761","5ea824f580b9ef228f589930","Prolific","1","","null","","2","1","","null","","","","","","","","","","","","",""
