"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"1920","953","true","chrome","135.0.0","false","Windows 10","true","60.66","true","true","browser-check","0","2.1.0","997","65957236b312488ff83e9ad8","Prolific","1","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","16643","65957236b312488ff83e9ad8","Prolific","1","true","14634","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","55162","65957236b312488ff83e9ad8","Prolific","1","","38517","[{""page_index"":0,""viewing_time"":38517}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","85976","65957236b312488ff83e9ad8","Prolific","1","","30813","[{""page_index"":0,""viewing_time"":22780},{""page_index"":1,""viewing_time"":8033}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","86989","65957236b312488ff83e9ad8","Prolific","1","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","87302","65957236b312488ff83e9ad8","Prolific","1","","null","","1","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","91538","65957236b312488ff83e9ad8","Prolific","1","","4234","","1","1","","e","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","92050","65957236b312488ff83e9ad8","Prolific","1","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","92062","65957236b312488ff83e9ad8","Prolific","1","","4234","","1","1","","e","383","313","","","","true","4.25","0","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","93077","65957236b312488ff83e9ad8","Prolific","1","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","93404","65957236b312488ff83e9ad8","Prolific","1","","null","","2","1","","null","313","418","313","105","e","false","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","94324","65957236b312488ff83e9ad8","Prolific","1","","919","","2","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","94837","65957236b312488ff83e9ad8","Prolific","1","","null","","2","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","19","2.1.0","94837","65957236b312488ff83e9ad8","Prolific","1","","919","","2","1","","e","313","418","","","","false","4.65","1","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","21","2.1.0","95852","65957236b312488ff83e9ad8","Prolific","1","","null","","3","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","22","2.1.0","96163","65957236b312488ff83e9ad8","Prolific","1","","null","","3","1","","null","313","418","313","105","e","false","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","23","2.1.0","96615","65957236b312488ff83e9ad8","Prolific","1","","451","","3","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","24","2.1.0","97134","65957236b312488ff83e9ad8","Prolific","1","","null","","3","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","26","2.1.0","97135","65957236b312488ff83e9ad8","Prolific","1","","451","","3","1","","e","313","418","","","","false","4.65","1","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","28","2.1.0","98146","65957236b312488ff83e9ad8","Prolific","1","","null","","4","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","29","2.1.0","98455","65957236b312488ff83e9ad8","Prolific","1","","null","","4","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","30","2.1.0","99016","65957236b312488ff83e9ad8","Prolific","1","","560","","4","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","31","2.1.0","99530","65957236b312488ff83e9ad8","Prolific","1","","null","","4","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","33","2.1.0","99531","65957236b312488ff83e9ad8","Prolific","1","","560","","4","1","","w","383","313","","","","true","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","35","2.1.0","100545","65957236b312488ff83e9ad8","Prolific","1","","null","","5","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","36","2.1.0","100855","65957236b312488ff83e9ad8","Prolific","1","","null","","5","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","37","2.1.0","101335","65957236b312488ff83e9ad8","Prolific","1","","471","","5","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","38","2.1.0","101850","65957236b312488ff83e9ad8","Prolific","1","","null","","5","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","40","2.1.0","101851","65957236b312488ff83e9ad8","Prolific","1","","471","","5","1","","w","383","313","","","","true","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","42","2.1.0","102863","65957236b312488ff83e9ad8","Prolific","1","","null","","6","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","43","2.1.0","103175","65957236b312488ff83e9ad8","Prolific","1","","null","","6","1","","null","313","360","313","47","e","false","3.85","","","","","",""
"","","","","","","","","","","","Stimulus Response","44","2.1.0","103542","65957236b312488ff83e9ad8","Prolific","1","","365","","6","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","45","2.1.0","104058","65957236b312488ff83e9ad8","Prolific","1","","null","","6","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","47","2.1.0","104059","65957236b312488ff83e9ad8","Prolific","1","","365","","6","1","","e","313","360","","","","false","3.85","1","","Practice","47","",""
"","","","","","","","","","","","html-keyboard-response","49","2.1.0","105071","65957236b312488ff83e9ad8","Prolific","1","","null","","7","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
