"participant_id","condition","phase","trialnum","blocknum","dot_difference","rt","response","target_left","correct","confidence"
"65456ebc819cdd5600552571",0,"Test",27,2,57,"585","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",28,2,63,"804","w","false",0,2
"65456ebc819cdd5600552571",0,"Test",29,2,70,"577","e","true",0,6
"65456ebc819cdd5600552571",0,"Test",30,2,77,"950","e","false",1,6
"65456ebc819cdd5600552571",0,"Test",31,2,77,"659","e","false",1,6
"65456ebc819cdd5600552571",0,"Test",32,2,70,"854","w","true",1,4
"65456ebc819cdd5600552571",0,"Test",33,2,70,"628","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",34,2,63,"1160","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",35,2,63,"4269","e","true",0,3
"65456ebc819cdd5600552571",0,"Test",36,2,70,"640","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",37,2,70,"1903","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",38,2,77,"746","e","true",0,3
"65456ebc819cdd5600552571",0,"Test",39,2,86,"1083","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",40,2,86,"909","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",41,2,77,"2033","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",42,2,77,"635","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",43,2,70,"725","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",44,2,70,"469","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",45,2,63,"444","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",46,2,63,"505","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",47,2,57,"738","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",48,2,57,"351","e","false",1,3
"65456ebc819cdd5600552571",0,"Test",49,2,52,"159744","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",50,2,52,"778","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",51,2,47,"1384","e","false",1,4
"65456ebc819cdd5600552571",0,"Test",52,2,47,"719","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",53,2,43,"625","e","false",1,6
"65456ebc819cdd5600552571",0,"Test",54,2,43,"727","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",55,2,38,"630","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",56,2,43,"2489","w","false",0,2
"65456ebc819cdd5600552571",0,"Test",57,2,47,"628","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",58,2,52,"645","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",59,2,52,"622","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",60,2,47,"871","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",61,2,47,"674","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",62,2,52,"31227","w","false",0,3
"65456ebc819cdd5600552571",0,"Test",63,2,57,"979","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",64,2,57,"835","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",65,2,52,"964","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",66,2,52,"653","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",67,2,47,"737","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",68,2,47,"672","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",69,3,43,"589","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",70,3,43,"526","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",71,3,38,"709","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",72,3,43,"837","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",73,3,43,"762","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",74,3,47,"506","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",75,3,47,"712","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",76,3,52,"640","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",77,3,52,"471","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",78,3,47,"502","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",79,3,47,"3271","e","false",1,2
"65456ebc819cdd5600552571",0,"Test",80,3,43,"525","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",81,3,43,"1301","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",82,3,47,"603","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",83,3,47,"454","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",84,3,43,"679","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",85,3,43,"1092","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",86,3,38,"570","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",87,3,38,"882","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",88,3,35,"1555","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",89,3,35,"1793","e","false",1,3
"65456ebc819cdd5600552571",0,"Test",90,3,32,"501","w","true",1,5
