"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"1190","464","true","chrome","135.0.0","false","Windows 10","true","59.95","false","true","browser-check","0","2.1.0","1010","5fec594488f057dbd3bdec07","Prolific","0","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","7107","5fec594488f057dbd3bdec07","Prolific","0","true","5092","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","11462","5fec594488f057dbd3bdec07","Prolific","0","","4353","[{""page_index"":0,""viewing_time"":4353}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","40311","5fec594488f057dbd3bdec07","Prolific","0","","28847","[{""page_index"":0,""viewing_time"":21283},{""page_index"":1,""viewing_time"":7564}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","41327","5fec594488f057dbd3bdec07","Prolific","0","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","41639","5fec594488f057dbd3bdec07","Prolific","0","","null","","1","1","","null","313","383","313","70","e","false","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","42315","5fec594488f057dbd3bdec07","Prolific","0","","675","","1","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","42820","5fec594488f057dbd3bdec07","Prolific","0","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","42838","5fec594488f057dbd3bdec07","Prolific","0","","675","","1","1","","e","313","383","","","","false","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","43843","5fec594488f057dbd3bdec07","Prolific","0","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","44154","5fec594488f057dbd3bdec07","Prolific","0","","null","","2","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","44666","5fec594488f057dbd3bdec07","Prolific","0","","511","","2","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","45169","5fec594488f057dbd3bdec07","Prolific","0","","null","","2","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","19","2.1.0","45170","5fec594488f057dbd3bdec07","Prolific","0","","511","","2","1","","w","383","313","","","","true","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","21","2.1.0","46181","5fec594488f057dbd3bdec07","Prolific","0","","null","","3","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","22","2.1.0","46494","5fec594488f057dbd3bdec07","Prolific","0","","null","","3","1","","null","313","360","313","47","e","false","3.85","","","","","",""
"","","","","","","","","","","","Stimulus Response","23","2.1.0","46963","5fec594488f057dbd3bdec07","Prolific","0","","467","","3","1","","w","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","24","2.1.0","47474","5fec594488f057dbd3bdec07","Prolific","0","","null","","3","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","26","2.1.0","47475","5fec594488f057dbd3bdec07","Prolific","0","","467","","3","1","","w","313","360","","","","false","3.85","0","","Practice","47","",""
"","","","","","","","","","","","html-keyboard-response","28","2.1.0","48488","5fec594488f057dbd3bdec07","Prolific","0","","null","","4","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","29","2.1.0","48800","5fec594488f057dbd3bdec07","Prolific","0","","null","","4","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","30","2.1.0","49291","5fec594488f057dbd3bdec07","Prolific","0","","489","","4","1","","e","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","31","2.1.0","49802","5fec594488f057dbd3bdec07","Prolific","0","","null","","4","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","33","2.1.0","49803","5fec594488f057dbd3bdec07","Prolific","0","","489","","4","1","","e","383","313","","","","true","4.25","0","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","35","2.1.0","50815","5fec594488f057dbd3bdec07","Prolific","0","","null","","5","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","36","2.1.0","51127","5fec594488f057dbd3bdec07","Prolific","0","","null","","5","1","","null","418","313","313","105","w","true","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","37","2.1.0","51507","5fec594488f057dbd3bdec07","Prolific","0","","378","","5","1","","e","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","38","2.1.0","52015","5fec594488f057dbd3bdec07","Prolific","0","","null","","5","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","40","2.1.0","52016","5fec594488f057dbd3bdec07","Prolific","0","","378","","5","1","","e","418","313","","","","true","4.65","0","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","42","2.1.0","53028","5fec594488f057dbd3bdec07","Prolific","0","","null","","6","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","43","2.1.0","53339","5fec594488f057dbd3bdec07","Prolific","0","","null","","6","1","","null","313","469","313","156","e","false","5.050000000000001","","","","","",""
"","","","","","","","","","","","Stimulus Response","44","2.1.0","53611","5fec594488f057dbd3bdec07","Prolific","0","","271","","6","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","45","2.1.0","54118","5fec594488f057dbd3bdec07","Prolific","0","","null","","6","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","47","2.1.0","54118","5fec594488f057dbd3bdec07","Prolific","0","","271","","6","1","","e","313","469","","","","false","5.050000000000001","1","","Practice","156","",""
"","","","","","","","","","","","html-keyboard-response","49","2.1.0","55125","5fec594488f057dbd3bdec07","Prolific","0","","null","","7","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","50","2.1.0","55437","5fec594488f057dbd3bdec07","Prolific","0","","null","","7","1","","null","313","469","313","156","e","false","5.050000000000001","","","","","",""
"","","","","","","","","","","","Stimulus Response","51","2.1.0","55778","5fec594488f057dbd3bdec07","Prolific","0","","340","","7","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","52","2.1.0","56289","5fec594488f057dbd3bdec07","Prolific","0","","null","","7","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","54","2.1.0","56290","5fec594488f057dbd3bdec07","Prolific","0","","340","","7","1","","e","313","469","","","","false","5.050000000000001","1","","Practice","156","",""
