"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"1280","585","true","chrome","135.0.0","false","Windows 10","true","60.73","true","true","browser-check","0","2.1.0","997","65b7b0e4e6fa7d632205b4b6","Prolific","1","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","5237","65b7b0e4e6fa7d632205b4b6","Prolific","1","true","3223","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","13851","65b7b0e4e6fa7d632205b4b6","Prolific","1","","8612","[{""page_index"":0,""viewing_time"":8612}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","58910","65b7b0e4e6fa7d632205b4b6","Prolific","1","","45058","[{""page_index"":0,""viewing_time"":41190},{""page_index"":1,""viewing_time"":3868}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","59918","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","60234","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","1","1","","null","313","383","313","70","e","false","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","61845","65b7b0e4e6fa7d632205b4b6","Prolific","1","","1609","","1","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","62364","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","62365","65b7b0e4e6fa7d632205b4b6","Prolific","1","","1609","","1","1","","e","313","383","","","","false","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","63372","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","63685","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","2","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","64822","65b7b0e4e6fa7d632205b4b6","Prolific","1","","1136","","2","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","65328","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","2","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","19","2.1.0","65328","65b7b0e4e6fa7d632205b4b6","Prolific","1","","1136","","2","1","","w","383","313","","","","true","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","21","2.1.0","66332","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","3","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","22","2.1.0","66649","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","3","1","","null","360","313","313","47","w","true","3.85","","","","","",""
"","","","","","","","","","","","Stimulus Response","23","2.1.0","67411","65b7b0e4e6fa7d632205b4b6","Prolific","1","","761","","3","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","24","2.1.0","67923","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","3","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","26","2.1.0","67924","65b7b0e4e6fa7d632205b4b6","Prolific","1","","761","","3","1","","w","360","313","","","","true","3.85","1","","Practice","47","",""
"","","","","","","","","","","","html-keyboard-response","28","2.1.0","68928","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","4","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","29","2.1.0","69234","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","4","1","","null","313","360","313","47","e","false","3.85","","","","","",""
"","","","","","","","","","","","Stimulus Response","30","2.1.0","69863","65b7b0e4e6fa7d632205b4b6","Prolific","1","","628","","4","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","31","2.1.0","70372","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","4","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","33","2.1.0","70372","65b7b0e4e6fa7d632205b4b6","Prolific","1","","628","","4","1","","e","313","360","","","","false","3.85","1","","Practice","47","",""
"","","","","","","","","","","","html-keyboard-response","35","2.1.0","71378","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","5","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","36","2.1.0","71683","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","5","1","","null","313","345","313","32","e","false","3.45","","","","","",""
"","","","","","","","","","","","Stimulus Response","37","2.1.0","72144","65b7b0e4e6fa7d632205b4b6","Prolific","1","","460","","5","1","","w","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","38","2.1.0","72658","65b7b0e4e6fa7d632205b4b6","Prolific","1","","null","","5","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","40","2.1.0","72658","65b7b0e4e6fa7d632205b4b6","Prolific","1","","460","","5","1","","w","313","345","","","","false","3.45","0","","Practice","32","",""
