"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"1920","945","true","chrome","135.0.0","false","Windows 10","true","61.22","true","true","browser-check","0","2.1.0","987","67eb09d69af29d8b61649c0d","Prolific","1","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","21757","67eb09d69af29d8b61649c0d","Prolific","1","true","19763","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","32669","67eb09d69af29d8b61649c0d","Prolific","1","","10910","[{""page_index"":0,""viewing_time"":10910}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","49534","67eb09d69af29d8b61649c0d","Prolific","1","","16864","[{""page_index"":0,""viewing_time"":11389},{""page_index"":1,""viewing_time"":5476}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","50540","67eb09d69af29d8b61649c0d","Prolific","1","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","50854","67eb09d69af29d8b61649c0d","Prolific","1","","null","","1","1","","null","313","383","313","70","e","false","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","57134","67eb09d69af29d8b61649c0d","Prolific","1","","6277","","1","1","","w","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","57651","67eb09d69af29d8b61649c0d","Prolific","1","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","57657","67eb09d69af29d8b61649c0d","Prolific","1","","6277","","1","1","","w","313","383","","","","false","4.25","0","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","58676","67eb09d69af29d8b61649c0d","Prolific","1","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","58984","67eb09d69af29d8b61649c0d","Prolific","1","","null","","2","1","","null","418","313","313","105","w","true","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","60562","67eb09d69af29d8b61649c0d","Prolific","1","","1576","","2","1","","e","","","","","","","","0","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","61067","67eb09d69af29d8b61649c0d","Prolific","1","","null","","2","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","19","2.1.0","61067","67eb09d69af29d8b61649c0d","Prolific","1","","1576","","2","1","","e","418","313","","","","true","4.65","0","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","21","2.1.0","62075","67eb09d69af29d8b61649c0d","Prolific","1","","null","","3","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","22","2.1.0","62390","67eb09d69af29d8b61649c0d","Prolific","1","","null","","3","1","","null","313","469","313","156","e","false","5.050000000000001","","","","","",""
"","","","","","","","","","","","Stimulus Response","23","2.1.0","63084","67eb09d69af29d8b61649c0d","Prolific","1","","693","","3","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","24","2.1.0","63610","67eb09d69af29d8b61649c0d","Prolific","1","","null","","3","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","26","2.1.0","63611","67eb09d69af29d8b61649c0d","Prolific","1","","693","","3","1","","e","313","469","","","","false","5.050000000000001","1","","Practice","156","",""
"","","","","","","","","","","","html-keyboard-response","28","2.1.0","64629","67eb09d69af29d8b61649c0d","Prolific","1","","null","","4","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","29","2.1.0","64941","67eb09d69af29d8b61649c0d","Prolific","1","","null","","4","1","","null","469","313","313","156","w","true","5.050000000000001","","","","","",""
"","","","","","","","","","","","Stimulus Response","30","2.1.0","65306","67eb09d69af29d8b61649c0d","Prolific","1","","363","","4","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","31","2.1.0","65819","67eb09d69af29d8b61649c0d","Prolific","1","","null","","4","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","33","2.1.0","65819","67eb09d69af29d8b61649c0d","Prolific","1","","363","","4","1","","w","469","313","","","","true","5.050000000000001","1","","Practice","156","",""
"","","","","","","","","","","","html-keyboard-response","35","2.1.0","66832","67eb09d69af29d8b61649c0d","Prolific","1","","null","","5","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","36","2.1.0","67141","67eb09d69af29d8b61649c0d","Prolific","1","","null","","5","1","","null","313","418","313","105","e","false","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","37","2.1.0","67565","67eb09d69af29d8b61649c0d","Prolific","1","","417","","5","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","38","2.1.0","68073","67eb09d69af29d8b61649c0d","Prolific","1","","null","","5","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","40","2.1.0","68074","67eb09d69af29d8b61649c0d","Prolific","1","","417","","5","1","","e","313","418","","","","false","4.65","1","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","42","2.1.0","69087","67eb09d69af29d8b61649c0d","Prolific","1","","null","","6","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","43","2.1.0","69395","67eb09d69af29d8b61649c0d","Prolific","1","","null","","6","1","","null","418","313","313","105","w","true","4.65","","","","","",""
"","","","","","","","","","","","Stimulus Response","44","2.1.0","69607","67eb09d69af29d8b61649c0d","Prolific","1","","210","","6","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","45","2.1.0","70109","67eb09d69af29d8b61649c0d","Prolific","1","","null","","6","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","47","2.1.0","70110","67eb09d69af29d8b61649c0d","Prolific","1","","210","","6","1","","w","418","313","","","","true","4.65","1","","Practice","105","",""
"","","","","","","","","","","","html-keyboard-response","49","2.1.0","71123","67eb09d69af29d8b61649c0d","Prolific","1","","null","","7","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
