"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","Source","condition","success","rt","view_history","trialnum","blocknum","stimulus","response","leftDots","rightDots","baseline","increment","correct_key","target_left","current_log","correct","value","phase","dot_difference","slider_start","confidence"
"1920","945","true","chrome","135.0.0","false","Windows 10","true","61.09","true","true","browser-check","0","2.1.0","991","6617d376619a2b4541498f2c","Prolific","0","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2.1.0","28472","6617d376619a2b4541498f2c","Prolific","0","true","26461","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2.1.0","43072","6617d376619a2b4541498f2c","Prolific","0","","14597","[{""page_index"":0,""viewing_time"":14597}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.1.0","302792","6617d376619a2b4541498f2c","Prolific","0","","259718","[{""page_index"":0,""viewing_time"":246362},{""page_index"":1,""viewing_time"":13356}]","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","2.1.0","303808","6617d376619a2b4541498f2c","Prolific","0","","null","","1","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","8","2.1.0","304119","6617d376619a2b4541498f2c","Prolific","0","","null","","1","1","","null","383","313","313","70","w","true","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","9","2.1.0","307217","6617d376619a2b4541498f2c","Prolific","0","","3097","","1","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","10","2.1.0","307730","6617d376619a2b4541498f2c","Prolific","0","","null","","1","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","12","2.1.0","307753","6617d376619a2b4541498f2c","Prolific","0","","3097","","1","1","","w","383","313","","","","true","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","14","2.1.0","308767","6617d376619a2b4541498f2c","Prolific","0","","null","","2","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","15","2.1.0","309079","6617d376619a2b4541498f2c","Prolific","0","","null","","2","1","","null","313","383","313","70","e","false","4.25","","","","","",""
"","","","","","","","","","","","Stimulus Response","16","2.1.0","310109","6617d376619a2b4541498f2c","Prolific","0","","1029","","2","1","","e","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","17","2.1.0","310623","6617d376619a2b4541498f2c","Prolific","0","","null","","2","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","19","2.1.0","310624","6617d376619a2b4541498f2c","Prolific","0","","1029","","2","1","","e","313","383","","","","false","4.25","1","","Practice","70","",""
"","","","","","","","","","","","html-keyboard-response","21","2.1.0","311628","6617d376619a2b4541498f2c","Prolific","0","","null","","3","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","22","2.1.0","311939","6617d376619a2b4541498f2c","Prolific","0","","null","","3","1","","null","360","313","313","47","w","true","3.85","","","","","",""
"","","","","","","","","","","","Stimulus Response","23","2.1.0","312540","6617d376619a2b4541498f2c","Prolific","0","","599","","3","1","","w","","","","","","","","1","","","","",""
"","","","","","","","","","","","Feedback","24","2.1.0","313048","6617d376619a2b4541498f2c","Prolific","0","","null","","3","1","","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Summary Trial","26","2.1.0","313049","6617d376619a2b4541498f2c","Prolific","0","","599","","3","1","","w","360","313","","","","true","3.85","1","","Practice","47","",""
"","","","","","","","","","","","html-keyboard-response","28","2.1.0","314060","6617d376619a2b4541498f2c","Prolific","0","","null","","4","1","<p style=""font-size: 70pt;"">+</p>","null","","","","","","","","","","","","",""
"","","","","","","","","","","","Stimulus Presentation","29","2.1.0","314373","6617d376619a2b4541498f2c","Prolific","0","","null","","4","1","","null","313","360","313","47","e","false","3.85","","","","","",""
"","","","","","","","","","","","Stimulus Response","30","2.1.0","314983","6617d376619a2b4541498f2c","Prolific","0","","608","","4","1","","e","","","","","","","","1","","","","",""
